,Release ID,Album,Year,Artist Name,Label
451,1200331,1981,Peter Hammill,Sitting Targets,Virgin
452,1200350,1983,Peter Hammill,Patience,Naive Records
453,1201755,1987,John Martyn,Solid Air,Island Records
454,1206740,2007,Minus The Bear,Planet Of Ice,Suicide Squeeze
455,1207233,2008,British Sea Power,Do You Like Rock Music?,Rough Trade
456,1210396,1999,Papa M,Live From A Shark Cage,Drag City
457,1213007,2000,Silkworm,Lifestyle,Touch And Go
458,1213010,1997,Silkworm,Developer,Matador
459,1216560,1996,Peter Hammill,X My Heart,Fie! Records
460,1217912,1980,Human Sexual Response,Fig. 14,Passport Records
461,1218090,1993,Medicine (2),The Buried Life,American Recordings
462,1225198,1988,Grant Hart,2541,SST Records
463,1255999,2007,HEALTH (2),Health,Lovepump United
464,1263045,2008,The Gutter Twins,Saturnalia,Sub Pop
465,1263594,1988,Peter Hammill,A Black Box,Virgin
466,1271969,1972,John Fahey & His Orchestra,Of Rivers And Religion,Reprise Records
467,1276654,1996,Bondage Fruit,II,Maboroshi No Sekai
468,1277462,1992,Big Black,Atomizer,Touch And Go
469,1277997,2007,Porcupine Tree,Nil Recurring,Transmission Recordings
470,1280463,1988,Sonic Youth,Daydream Nation,Enigma (4)
471,1283255,1995,David Kilgour,First Steps & False Alarms (The Best Of The Worst - Home Demo's Of Demo's),Ajax Records (2)
472,1289234,2001,Papa M,"Whatever, Mortal",Drag City
473,1289480,2002,Camel,A Nod And A Wink,Camel Productions
474,1291344,2008,Sun Kil Moon,April,Caldo Verde Records
475,1291800,1989,Grant Hart,Intolerance,SST Records
476,1294014,2005,British Sea Power,Open Season,Rough Trade
477,1294928,2005,The Drones (2),Wait Long By The River And The Bodies Of Your Enemies Will Float By,In-Fidelity Recordings
478,1303620,1996,The Clean,Unknown Country,Flying Nun Records
479,1308019,1999,Songs: Ohia,The Ghost,Secretly Canadian
480,1308408,2008,Have A Nice Life,Deathconsciousness,Enemies List Home Recordings
481,1310569,1997,Neko Case & Her Boyfriends,The Virginian,Mint Records (12)
482,1316400,1990,Peter Hammill,Out Of Water,Enigma (4)
483,1325692,2008,The Chameleons,Script Of The Bridge,Blue Apple Music
484,1331182,2008,Pyramids,Pyramids,Hydra Head Records
485,1336190,1969,Neil Young,Everybody Knows This Is Nowhere,Reprise Records
